Scene Number,Start Time,End Time,Duration (seconds),Start Frame,End Frame,Exercise Name,Muscle Groups,Required Equipment
1,00:00:00.000,00:00:02.033,2.03,0,61,,,
2,00:00:02.033,00:00:05.133,3.10,61,154,,,
3,00:00:05.133,00:00:08.400,3.27,154,252,,,
4,00:00:08.400,00:00:10.267,1.87,252,308,,,
5,00:00:10.267,00:00:13.167,2.90,308,395,,,
6,00:00:13.167,00:00:15.533,2.37,395,466,,,
7,00:00:15.533,00:00:18.600,3.07,466,558,,,
8,00:00:18.600,00:00:21.333,2.73,558,640,,,
9,00:00:21.333,00:00:23.700,2.37,640,711,,,
10,00:00:23.700,00:00:25.700,2.00,711,771,,,
11,00:00:25.700,00:00:30.300,4.60,771,909,,,
12,00:00:30.300,00:00:33.300,3.00,909,999,,,
13,00:00:33.300,00:00:35.400,2.10,999,1062,,,
14,00:00:35.400,00:00:39.267,3.87,1062,1178,,,
15,00:00:39.267,00:00:42.267,3.00,1178,1268,,,
16,00:00:42.267,00:00:44.633,2.37,1268,1339,,,
17,00:00:44.633,00:00:47.200,2.57,1339,1416,,,
18,00:00:47.200,00:00:49.700,2.50,1416,1491,,,
19,00:00:49.700,00:00:53.500,3.80,1491,1605,,,
20,00:00:53.500,00:00:56.400,2.90,1605,1692,,,
21,00:00:56.400,00:01:01.000,4.60,1692,1830,,,
22,00:01:01.000,00:01:03.933,2.93,1830,1918,,,
23,00:01:03.933,00:01:07.233,3.30,1918,2017,,,
24,00:01:07.233,00:01:08.967,1.73,2017,2069,,,
