Scene Number,Start Time,End Time,Duration (seconds),Start Frame,End Frame,Exercise Name,Muscle Groups,Required Equipment
1,00:00:00.000,00:00:05.133,5.13,0,154,,,
2,00:00:05.133,00:00:10.267,5.13,154,308,,,
3,00:00:10.267,00:00:15.533,5.27,308,466,,,
4,00:00:15.533,00:00:21.333,5.80,466,640,,,
5,00:00:21.333,00:00:28.300,6.97,640,849,,,
6,00:00:28.300,00:00:33.300,5.00,849,999,,,
7,00:00:33.300,00:00:39.267,5.97,999,1178,,,
8,00:00:39.267,00:00:44.633,5.37,1178,1339,,,
9,00:00:44.633,00:00:49.700,5.07,1339,1491,,,
10,00:00:49.700,00:00:56.400,6.70,1491,1692,,,
11,00:00:56.400,00:01:03.933,7.53,1692,1918,,,
12,00:01:03.933,00:01:08.967,5.03,1918,2069,,,
