Scene Number,Start Time,End Time,Duration (seconds),Start Frame,End Frame,Exercise Name,Muscle Groups,Required Equipment
1,00:00:00.000,00:00:05.133,5.13,0,154,,,
2,00:00:05.133,00:00:10.267,5.13,154,308,,,
3,00:00:10.267,00:00:15.533,5.27,308,466,,,
4,00:00:15.533,00:00:21.333,5.80,466,640,,,
5,00:00:21.333,00:00:30.300,8.97,640,909,,,
6,00:00:30.300,00:00:35.400,5.10,909,1062,,,
7,00:00:35.400,00:00:42.267,6.87,1062,1268,,,
8,00:00:42.267,00:00:49.700,7.43,1268,1491,,,
9,00:00:49.700,00:00:56.400,6.70,1491,1692,,,
10,00:00:56.400,00:01:03.933,7.53,1692,1918,,,
11,00:01:03.933,00:01:08.967,5.03,1918,2069,,,
